sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:54:23.361744,62.0,2026-04-24T16:54:22.936,29.04
2026-04-24T16:54:24.004752,62.0,2026-04-24T16:54:23.936,29.0
2026-04-24T16:54:24.630222,62.0,2026-04-24T16:54:24.936,28.98
2026-04-24T16:54:25.271480,62.2,2026-04-24T16:54:25.436,28.99
2026-04-24T16:54:25.910751,62.3,2026-04-24T16:54:26.436,28.98
2026-04-24T16:54:26.561856,62.2,2026-04-24T16:54:27.436,28.99
2026-04-24T16:54:27.191961,62.3,2026-04-24T16:54:28.436,28.95
2026-04-24T16:54:27.832379,62.3,2026-04-24T16:54:28.936,28.94
2026-04-24T16:54:28.472625,62.4,2026-04-24T16:54:29.936,29.04
2026-04-24T16:54:29.121483,62.4,2026-04-24T16:54:30.436,29.0
2026-04-24T16:54:29.758808,62.3,2026-04-24T16:54:30.936,28.97
2026-04-24T16:54:30.400324,62.3,2026-04-24T16:54:31.436,28.91
2026-04-24T16:54:31.038799,62.3,2026-04-24T16:54:32.436,28.71
2026-04-24T16:54:31.683348,62.3,2026-04-24T16:54:32.936,28.79
2026-04-24T16:54:32.316189,62.4,2026-04-24T16:54:33.436,28.78
2026-04-24T16:54:32.957722,62.3,2026-04-24T16:54:34.436,28.75
2026-04-24T16:54:33.587536,62.2,2026-04-24T16:54:34.936,28.95
2026-04-24T16:54:34.232367,59.9,2026-04-24T16:54:35.436,28.88
2026-04-24T16:54:34.877612,62.8,2026-04-24T16:54:35.936,28.92
2026-04-24T16:54:35.522087,63.4,2026-04-24T16:54:36.936,28.92
2026-04-24T16:54:36.157452,63.4,2026-04-24T16:54:37.436,28.98
