sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:59:58.085182,60.1,2026-04-24T16:59:57.458,24.83
2026-04-24T16:59:58.729708,60.2,2026-04-24T16:59:58.458,24.95
2026-04-24T16:59:59.361760,60.3,2026-04-24T16:59:59.458,24.93
2026-04-24T17:00:00.002227,60.3,2026-04-24T17:00:00.458,24.83
2026-04-24T17:00:00.648334,60.2,2026-04-24T17:00:00.958,24.69
2026-04-24T17:00:01.287576,60.3,2026-04-24T17:00:01.958,24.85
2026-04-24T17:00:01.927613,60.5,2026-04-24T17:00:02.958,24.76
2026-04-24T17:00:02.558999,60.7,2026-04-24T17:00:03.958,25.1
2026-04-24T17:00:03.205333,60.5,2026-04-24T17:00:04.458,25.1
2026-04-24T17:00:03.854892,60.4,2026-04-24T17:00:04.958,24.98
2026-04-24T17:00:04.482965,60.4,2026-04-24T17:00:05.958,25.07
2026-04-24T17:00:05.133843,60.6,2026-04-24T17:00:06.458,25.13
2026-04-24T17:00:05.766826,60.6,2026-04-24T17:00:06.958,24.98
2026-04-24T17:00:06.400927,60.5,2026-04-24T17:00:07.458,25.0
2026-04-24T17:00:07.045500,60.5,2026-04-24T17:00:08.458,24.89
2026-04-24T17:00:07.690972,60.5,2026-04-24T17:00:08.958,25.01
2026-04-24T17:00:08.333475,60.6,2026-04-24T17:00:09.458,25.17
2026-04-24T17:00:08.968970,60.5,2026-04-24T17:00:09.958,24.89
2026-04-24T17:00:09.616011,60.4,2026-04-24T17:00:10.958,25.02
2026-04-24T17:00:10.250998,60.4,2026-04-24T17:00:11.458,25.19
2026-04-24T17:00:10.893636,60.5,2026-04-24T17:00:11.958,25.05
2026-04-24T17:00:11.529534,60.7,2026-04-24T17:00:12.958,25.24
2026-04-24T17:00:12.164717,60.4,2026-04-24T17:00:13.458,25.24
2026-04-24T17:00:12.805311,60.7,2026-04-24T17:00:13.958,25.27
