sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:59:33.123227,60.0,2026-04-24T16:59:32.762,24.19
2026-04-24T16:59:33.771965,60.0,2026-04-24T16:59:33.762,24.29
2026-04-24T16:59:34.389362,60.2,2026-04-24T16:59:34.762,24.06
2026-04-24T16:59:35.046749,61.0,2026-04-24T16:59:35.762,24.19
2026-04-24T16:59:35.682506,60.8,2026-04-24T16:59:36.262,24.12
2026-04-24T16:59:36.321304,60.9,2026-04-24T16:59:37.262,24.3
2026-04-24T16:59:36.959863,61.0,2026-04-24T16:59:38.262,24.21
2026-04-24T16:59:37.614496,60.9,2026-04-24T16:59:38.762,24.33
2026-04-24T16:59:38.248658,60.9,2026-04-24T16:59:39.262,24.45
2026-04-24T16:59:38.895614,60.8,2026-04-24T16:59:40.262,24.36
2026-04-24T16:59:39.527131,61.1,2026-04-24T16:59:40.762,24.35
2026-04-24T16:59:40.168909,61.2,2026-04-24T16:59:41.262,24.56
2026-04-24T16:59:40.808800,61.2,2026-04-24T16:59:42.262,24.52
2026-04-24T16:59:41.449406,61.2,2026-04-24T16:59:42.762,24.52
2026-04-24T16:59:42.085431,61.0,2026-04-24T16:59:43.262,24.47
2026-04-24T16:59:42.716665,61.0,2026-04-24T16:59:43.762,24.39
2026-04-24T16:59:43.367470,61.2,2026-04-24T16:59:44.762,24.41
2026-04-24T16:59:44.010381,61.3,2026-04-24T16:59:45.262,24.35
2026-04-24T16:59:44.651151,61.2,2026-04-24T16:59:45.762,24.46
2026-04-24T16:59:45.294890,61.1,2026-04-24T16:59:46.762,24.57
2026-04-24T16:59:45.923033,61.6,2026-04-24T16:59:47.262,24.57
