sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:51:31.833568,63.7,2026-04-24T16:51:32.974,25.32
2026-04-24T16:51:32.463727,63.7,2026-04-24T16:51:33.474,25.55
2026-04-24T16:51:33.115968,63.7,2026-04-24T16:51:34.474,26.76
2026-04-24T16:51:33.783237,63.7,2026-04-24T16:51:34.974,27.14
2026-04-24T16:51:34.400392,63.7,2026-04-24T16:51:35.474,27.31
2026-04-24T16:51:35.036854,63.7,2026-04-24T16:51:36.474,27.31
2026-04-24T16:51:35.679747,63.7,2026-04-24T16:51:36.974,27.44
2026-04-24T16:51:36.315391,63.7,2026-04-24T16:51:37.474,27.72
2026-04-24T16:51:36.949667,63.7,2026-04-24T16:51:37.974,27.81
2026-04-24T16:51:37.602307,63.7,2026-04-24T16:51:38.974,28.15
2026-04-24T16:51:38.231482,63.7,2026-04-24T16:51:39.474,28.4
2026-04-24T16:51:38.866924,63.7,2026-04-24T16:51:39.974,28.65
2026-04-24T16:51:39.517536,63.7,2026-04-24T16:51:40.974,28.9
2026-04-24T16:51:40.149943,63.7,2026-04-24T16:51:41.474,28.84
2026-04-24T16:51:40.786761,63.7,2026-04-24T16:51:41.974,28.98
2026-04-24T16:51:41.446754,63.6,2026-04-24T16:51:42.474,28.83
2026-04-24T16:51:42.069034,63.6,2026-04-24T16:51:43.474,27.79
2026-04-24T16:51:42.717821,63.7,2026-04-24T16:51:43.974,26.99
2026-04-24T16:51:43.347751,63.7,2026-04-24T16:51:44.474,26.25
