sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-24T16:51:54.867502,63.8,2026-04-24T16:51:54.393,28.09
2026-04-24T16:51:55.509583,63.7,2026-04-24T16:51:55.393,28.2
2026-04-24T16:51:56.148620,63.7,2026-04-24T16:51:56.393,27.96
2026-04-24T16:51:56.802386,63.6,2026-04-24T16:51:57.393,27.76
2026-04-24T16:51:57.436276,63.6,2026-04-24T16:51:58.393,26.98
2026-04-24T16:51:58.068548,63.6,2026-04-24T16:51:58.893,26.52
2026-04-24T16:51:58.737013,63.6,2026-04-24T16:51:59.893,26.69
2026-04-24T16:51:59.351642,63.6,2026-04-24T16:52:00.393,27.03
2026-04-24T16:51:59.987018,63.6,2026-04-24T16:52:01.393,27.9
2026-04-24T16:52:00.636349,63.6,2026-04-24T16:52:01.893,28.11
2026-04-24T16:52:01.279910,63.7,2026-04-24T16:52:02.393,28.18
2026-04-24T16:52:01.914267,63.6,2026-04-24T16:52:02.893,28.21
2026-04-24T16:52:02.563507,63.6,2026-04-24T16:52:03.893,27.97
2026-04-24T16:52:03.201179,63.6,2026-04-24T16:52:04.393,28.16
2026-04-24T16:52:03.832646,63.7,2026-04-24T16:52:04.893,27.89
2026-04-24T16:52:04.486985,63.7,2026-04-24T16:52:05.893,27.73
2026-04-24T16:52:05.119342,63.6,2026-04-24T16:52:06.393,27.76
2026-04-24T16:52:05.750057,63.5,2026-04-24T16:52:06.893,27.46
2026-04-24T16:52:06.397129,63.8,2026-04-24T16:52:07.393,27.34
2026-04-24T16:52:07.033601,63.8,2026-04-24T16:52:08.393,27.71
