received_at,device_id,f_cnt,dB (A),Timestamp,seq_number,coordinates,label
2026-04-20T12:19:07.685078454Z,mau-adafruit-01,39,66,13:00:01,11,"55.60778, 12.99639",traffic_transport
2026-04-20T12:19:14.332652755Z,mau-adafruit-01,40,,,,,
2026-04-20T12:19:50.453011702Z,mau-adafruit-01,41,66,13:00:01,11,"55.60778, 12.99639",traffic_transport
2026-04-20T12:20:39.911194197Z,mau-adafruit-01,42,66,13:00:01,11,"55.60778, 12.99639",traffic_transport
2026-04-20T12:21:29.375481300Z,mau-adafruit-01,43,66,13:00:01,11,"55.60778, 12.99639",traffic_transport
