received_at,device_id,f_cnt,dB (A),Timestamp,seq_number,coordinates,label
2026-05-27T13:41:39.870777231Z,mau-adafruit-01,9,71,15:41:37,9,"55.60778, 12.99639",construction
2026-05-27T13:41:59.876731449Z,mau-adafruit-01,11,67,15:41:57,11,"55.60778, 12.99639",unknown
2026-05-27T13:42:06.530783333Z,mau-adafruit-01,12,,,,,
2026-05-27T13:42:19.870939649Z,mau-adafruit-01,13,74,15:42:17,12,"55.60778, 12.99639",unknown
2026-05-27T13:42:39.876747848Z,mau-adafruit-01,14,73,15:42:37,13,"55.60778, 12.99639",industrial
2026-05-27T13:42:59.910500597Z,mau-adafruit-01,15,76,15:42:57,14,"55.60778, 12.99639",unknown
2026-05-27T13:43:19.875017306Z,mau-adafruit-01,16,69,15:43:17,15,"55.60778, 12.99639",unknown
2026-05-27T13:43:39.880787845Z,mau-adafruit-01,17,70,15:43:37,16,"55.60778, 12.99639",unknown
2026-05-27T13:44:06.549041271Z,mau-adafruit-01,18,72,15:43:57,17,"55.60778, 12.99639",unknown
2026-05-27T13:44:20.097129973Z,mau-adafruit-01,19,89,15:44:17,18,"55.60778, 12.99639",industrial
2026-05-27T13:44:26.535293510Z,mau-adafruit-01,20,,,,,
2026-05-27T13:44:39.872791024Z,mau-adafruit-01,21,79,15:44:37,19,"55.60778, 12.99639",industrial
2026-05-27T13:44:59.884652034Z,mau-adafruit-01,23,73,15:44:57,21,"55.60778, 12.99639",unknown
2026-05-27T13:45:09.879919785Z,mau-adafruit-01,24,82,15:45:07,22,"55.60778, 12.99639",industrial
2026-05-27T13:45:19.884472577Z,mau-adafruit-01,25,83,15:45:17,23,"55.60778, 12.99639",industrial
2026-05-27T13:45:29.878268118Z,mau-adafruit-01,26,79,15:45:27,24,"55.60778, 12.99639",industrial
2026-05-27T13:45:39.871993643Z,mau-adafruit-01,27,81,15:45:37,25,"55.60778, 12.99639",industrial
2026-05-27T13:45:49.955085068Z,mau-adafruit-01,28,86,15:45:47,26,"55.60778, 12.99639",industrial
2026-05-27T13:45:59.878943293Z,mau-adafruit-01,29,77,15:45:57,27,"55.60778, 12.99639",industrial
2026-05-27T13:46:09.878604182Z,mau-adafruit-01,30,72,15:46:07,28,"55.60778, 12.99639",industrial
2026-05-27T13:46:29.874509617Z,mau-adafruit-01,32,77,15:46:27,30,"55.60778, 12.99639",industrial
2026-05-27T13:46:36.528920640Z,mau-adafruit-01,33,,,,,
2026-05-27T13:46:49.883841522Z,mau-adafruit-01,34,67,15:46:47,31,"55.60778, 12.99639",unknown
2026-05-27T13:47:09.874668318Z,mau-adafruit-01,35,71,15:47:07,32,"55.60778, 12.99639",unknown
2026-05-27T13:47:30.016088587Z,mau-adafruit-01,36,90,15:47:27,33,"55.60778, 12.99639",industrial
2026-05-27T13:47:49.873875984Z,mau-adafruit-01,37,68,15:47:47,34,"55.60778, 12.99639",unknown
2026-05-27T13:48:09.884961303Z,mau-adafruit-01,38,98,15:48:07,35,"55.60778, 12.99639",industrial
2026-05-27T13:48:23.554790803Z,mau-adafruit-01,39,,,,,
2026-05-27T13:48:39.901832685Z,mau-adafruit-01,40,77,15:48:37,36,"55.60778, 12.99639",industrial
2026-05-27T13:48:50.388872380Z,mau-adafruit-01,41,69,15:48:47,37,"55.60778, 12.99639",unknown
2026-05-27T13:48:59.879053609Z,mau-adafruit-01,42,66,15:48:57,38,"55.60778, 12.99639",unknown
2026-05-27T13:49:09.877634143Z,mau-adafruit-01,43,67,15:49:07,39,"55.60778, 12.99639",unknown
2026-05-27T13:49:19.884711849Z,mau-adafruit-01,44,73,15:49:17,40,"55.60778, 12.99639",unknown
2026-05-27T13:49:29.887457162Z,mau-adafruit-01,45,66,15:49:27,41,"55.60778, 12.99639",unknown
2026-05-27T13:49:39.874990141Z,mau-adafruit-01,46,66,15:49:37,42,"55.60778, 12.99639",unknown
2026-05-27T13:49:49.882014446Z,mau-adafruit-01,47,68,15:49:47,43,"55.60778, 12.99639",unknown
2026-05-27T13:49:59.879258628Z,mau-adafruit-01,48,67,15:49:57,44,"55.60778, 12.99639",unknown
2026-05-27T13:50:10.098840301Z,mau-adafruit-01,49,72,15:50:07,45,"55.60778, 12.99639",unknown
2026-05-27T13:50:19.882991482Z,mau-adafruit-01,50,70,15:50:17,46,"55.60778, 12.99639",industrial
2026-05-27T13:50:29.880779867Z,mau-adafruit-01,51,75,15:50:27,47,"55.60778, 12.99639",industrial
2026-05-27T13:50:39.936854829Z,mau-adafruit-01,52,71,15:50:37,48,"55.60778, 12.99639",unknown
