received_at,device_id,f_cnt,dB (A),Timestamp,seq_number,coordinates,label
2026-05-27T13:50:49.907081918Z,mau-adafruit-01,53,67,15:50:47,49,"55.60778, 12.99639",unknown
2026-05-27T13:50:59.938474579Z,mau-adafruit-01,54,66,15:50:57,50,"55.60778, 12.99639",unknown
2026-05-27T13:51:09.884722845Z,mau-adafruit-01,55,73,15:51:07,51,"55.60778, 12.99639",unknown
2026-05-27T13:51:19.887347459Z,mau-adafruit-01,56,71,15:51:17,52,"55.60778, 12.99639",unknown
2026-05-27T13:51:29.883088655Z,mau-adafruit-01,57,68,15:51:27,53,"55.60778, 12.99639",unknown
2026-05-27T13:51:39.885029801Z,mau-adafruit-01,58,72,15:51:37,54,"55.60778, 12.99639",unknown
2026-05-27T13:51:49.936589668Z,mau-adafruit-01,59,71,15:51:47,55,"55.60778, 12.99639",industrial
2026-05-27T13:51:56.523987266Z,mau-adafruit-01,60,,,,,
2026-05-27T13:52:09.884695562Z,mau-adafruit-01,61,75,15:52:07,56,"55.60778, 12.99639",industrial
2026-05-27T13:52:29.899703578Z,mau-adafruit-01,63,74,15:52:27,58,"55.60778, 12.99639",construction
2026-05-27T13:52:39.875010094Z,mau-adafruit-01,64,78,15:52:37,59,"55.60778, 12.99639",unknown
2026-05-27T13:52:49.878580845Z,mau-adafruit-01,65,74,15:52:47,60,"55.60778, 12.99639",industrial
2026-05-27T13:52:59.909776601Z,mau-adafruit-01,66,68,15:52:57,61,"55.60778, 12.99639",industrial
2026-05-27T13:53:09.878622381Z,mau-adafruit-01,67,69,15:53:07,62,"55.60778, 12.99639",unknown
2026-05-27T13:53:29.881150790Z,mau-adafruit-01,69,70,15:53:27,64,"55.60778, 12.99639",unknown
2026-05-27T13:53:39.887911988Z,mau-adafruit-01,70,70,15:53:37,65,"55.60778, 12.99639",unknown
2026-05-27T13:53:49.875233839Z,mau-adafruit-01,71,71,15:53:47,66,"55.60778, 12.99639",industrial
2026-05-27T13:53:56.586912853Z,mau-adafruit-01,72,,,,,
2026-05-27T13:54:09.885123081Z,mau-adafruit-01,73,65,15:54:07,67,"55.60778, 12.99639",nature
2026-05-27T13:54:29.884775557Z,mau-adafruit-01,74,72,15:54:27,68,"55.60778, 12.99639",unknown
2026-05-27T13:54:49.880241927Z,mau-adafruit-01,75,67,15:54:47,69,"55.60778, 12.99639",unknown
2026-05-27T13:55:09.877243714Z,mau-adafruit-01,76,70,15:55:07,70,"55.60778, 12.99639",industrial
2026-05-27T13:55:36.557350953Z,mau-adafruit-01,77,67,15:55:27,71,"55.60778, 12.99639",unknown
2026-05-27T13:55:49.885237138Z,mau-adafruit-01,78,67,15:55:47,72,"55.60778, 12.99639",unknown
2026-05-27T13:56:09.877523248Z,mau-adafruit-01,79,75,15:56:07,73,"55.60778, 12.99639",industrial
2026-05-27T13:56:16.587983525Z,mau-adafruit-01,80,,,,,
2026-05-27T13:56:29.877874623Z,mau-adafruit-01,81,76,15:56:27,74,"55.60778, 12.99639",industrial
2026-05-27T13:56:39.960781750Z,mau-adafruit-01,82,71,15:56:37,75,"55.60778, 12.99639",unknown
2026-05-27T13:56:49.878461918Z,mau-adafruit-01,83,65,15:56:47,76,"55.60778, 12.99639",unknown
2026-05-27T13:56:59.880615546Z,mau-adafruit-01,84,70,15:56:57,77,"55.60778, 12.99639",industrial
2026-05-27T13:57:10.063204902Z,mau-adafruit-01,85,69,15:57:07,78,"55.60778, 12.99639",unknown
2026-05-27T13:57:19.887174593Z,mau-adafruit-01,86,68,15:57:17,79,"55.60778, 12.99639",unknown
2026-05-27T13:57:29.879254313Z,mau-adafruit-01,87,73,15:57:27,80,"55.60778, 12.99639",unknown
2026-05-27T13:57:49.887078752Z,mau-adafruit-01,89,68,15:57:47,82,"55.60778, 12.99639",unknown
2026-05-27T13:57:59.924772587Z,mau-adafruit-01,90,73,15:57:57,83,"55.60778, 12.99639",industrial
2026-05-27T13:58:10.006033700Z,mau-adafruit-01,91,67,15:58:07,84,"55.60778, 12.99639",unknown
2026-05-27T13:58:29.880773652Z,mau-adafruit-01,93,67,15:58:27,86,"55.60778, 12.99639",unknown
2026-05-27T13:58:36.536401816Z,mau-adafruit-01,94,,,,,
2026-05-27T13:58:49.887298210Z,mau-adafruit-01,95,70,15:58:47,87,"55.60778, 12.99639",unknown
2026-05-27T13:59:09.885090675Z,mau-adafruit-01,96,81,15:59:07,88,"55.60778, 12.99639",unknown
2026-05-27T13:59:29.886846066Z,mau-adafruit-01,97,70,15:59:27,89,"55.60778, 12.99639",unknown
2026-05-27T13:59:49.950945653Z,mau-adafruit-01,98,70,15:59:47,90,"55.60778, 12.99639",unknown
2026-05-27T14:00:09.877649320Z,mau-adafruit-01,99,69,16:00:07,91,"55.60778, 12.99639",unknown
2026-05-27T14:00:23.381896844Z,mau-adafruit-01,100,,,,,
2026-05-27T14:00:39.889097841Z,mau-adafruit-01,101,69,16:00:37,92,"55.60778, 12.99639",industrial
2026-05-27T14:00:49.909416520Z,mau-adafruit-01,102,69,16:00:47,93,"55.60778, 12.99639",unknown
2026-05-27T14:01:09.885318723Z,mau-adafruit-01,104,68,16:01:07,95,"55.60778, 12.99639",nature
2026-05-27T14:01:19.880853558Z,mau-adafruit-01,105,67,16:01:17,96,"55.60778, 12.99639",unknown
2026-05-27T14:01:29.889195753Z,mau-adafruit-01,106,66,16:01:27,97,"55.60778, 12.99639",unknown
2026-05-27T14:01:39.882609959Z,mau-adafruit-01,107,64,16:01:37,98,"55.60778, 12.99639",unknown
2026-05-27T14:01:59.876605627Z,mau-adafruit-01,109,67,16:01:57,100,"55.60778, 12.99639",unknown
2026-05-27T14:02:09.966085459Z,mau-adafruit-01,110,69,16:02:07,101,"55.60778, 12.99639",unknown
2026-05-27T14:02:20.234100366Z,mau-adafruit-01,111,68,16:02:17,102,"55.60778, 12.99639",unknown
2026-05-27T14:02:26.537402482Z,mau-adafruit-01,112,,,,,
2026-05-27T14:02:39.940489680Z,mau-adafruit-01,113,72,16:02:37,103,"55.60778, 12.99639",unknown
