timestamp,mems_dba
2026-05-11T12:10:41.242,61.07
2026-05-11T12:10:41.342,58.81
2026-05-11T12:10:41.442,61.4
2026-05-11T12:10:41.542,62.57
2026-05-11T12:10:41.642,62.75
2026-05-11T12:10:41.742,62.71
2026-05-11T12:10:41.842,62.56
2026-05-11T12:10:41.942,62.33
2026-05-11T12:10:42.042,62.39
2026-05-11T12:10:42.142,62.71
2026-05-11T12:10:42.242,62.89
2026-05-11T12:10:42.342,62.69
2026-05-11T12:10:42.442,62.68
2026-05-11T12:10:42.542,62.79
2026-05-11T12:10:42.642,62.83
2026-05-11T12:10:42.742,63.02
2026-05-11T12:10:42.842,63.14
2026-05-11T12:10:42.942,63.19
2026-05-11T12:10:43.042,63.1
2026-05-11T12:10:43.142,63.22
2026-05-11T12:10:43.242,63.27
2026-05-11T12:10:43.342,63.18
2026-05-11T12:10:43.442,63.2
2026-05-11T12:10:43.542,63.3
2026-05-11T12:10:43.642,63.39
2026-05-11T12:10:43.742,63.61
2026-05-11T12:10:43.842,63.72
2026-05-11T12:10:43.942,62.97
2026-05-11T12:10:44.042,62.67
2026-05-11T12:10:44.142,62.97
2026-05-11T12:10:44.242,62.92
2026-05-11T12:10:44.342,62.79
2026-05-11T12:10:44.442,62.88
2026-05-11T12:10:44.542,63.46
2026-05-11T12:10:44.642,64.22
2026-05-11T12:10:44.742,64.06
2026-05-11T12:10:44.842,63.62
2026-05-11T12:10:44.942,64.22
2026-05-11T12:10:45.042,64.16
2026-05-11T12:10:45.142,64.14
2026-05-11T12:10:45.242,63.9
2026-05-11T12:10:45.342,63.91
2026-05-11T12:10:45.442,63.98
2026-05-11T12:10:45.542,64.17
2026-05-11T12:10:45.642,64.49
2026-05-11T12:10:45.742,64.47
2026-05-11T12:10:45.842,63.96
2026-05-11T12:10:45.942,63.66
2026-05-11T12:10:46.042,63.95
2026-05-11T12:10:46.142,63.99
2026-05-11T12:10:46.242,63.8
2026-05-11T12:10:46.342,63.99
2026-05-11T12:10:46.442,64.21
2026-05-11T12:10:46.542,64.51
2026-05-11T12:10:46.642,64.45
2026-05-11T12:10:46.742,63.99
2026-05-11T12:10:46.842,64.03
2026-05-11T12:10:46.942,64.07
2026-05-11T12:10:47.042,64.14
2026-05-11T12:10:47.142,63.91
2026-05-11T12:10:47.242,63.95
2026-05-11T12:10:47.342,64.17
2026-05-11T12:10:47.442,64.39
2026-05-11T12:10:47.542,64.31
2026-05-11T12:10:47.642,63.93
2026-05-11T12:10:47.742,64.12
2026-05-11T12:10:47.842,64.2
2026-05-11T12:10:47.942,63.98
2026-05-11T12:10:48.042,63.95
2026-05-11T12:10:48.142,64.13
2026-05-11T12:10:48.242,64.33
2026-05-11T12:10:48.342,64.45
2026-05-11T12:10:48.442,64.41
2026-05-11T12:10:48.542,64.37
2026-05-11T12:10:48.642,64.38
2026-05-11T12:10:48.742,64.53
2026-05-11T12:10:48.842,64.4
2026-05-11T12:10:48.942,64.43
2026-05-11T12:10:49.042,64.49
2026-05-11T12:10:49.142,64.53
2026-05-11T12:10:49.242,64.3
2026-05-11T12:10:49.342,64.51
2026-05-11T12:10:49.442,64.68
2026-05-11T12:10:49.542,64.54
2026-05-11T12:10:49.642,64.42
2026-05-11T12:10:49.742,64.45
2026-05-11T12:10:49.842,64.36
2026-05-11T12:10:49.942,64.32
2026-05-11T12:10:50.042,63.87
2026-05-11T12:10:50.142,63.63
2026-05-11T12:10:50.242,63.75
2026-05-11T12:10:50.342,63.88
2026-05-11T12:10:50.442,63.68
2026-05-11T12:10:50.542,63.53
2026-05-11T12:10:50.642,63.55
2026-05-11T12:10:50.742,63.54
2026-05-11T12:10:50.842,63.34
2026-05-11T12:10:50.942,62.75
2026-05-11T12:10:51.042,62.69
2026-05-11T12:10:51.142,62.85
2026-05-11T12:10:51.242,63.1
2026-05-11T12:10:51.342,62.99
2026-05-11T12:10:51.442,63.68
2026-05-11T12:10:51.542,64.73
2026-05-11T12:10:51.642,63.25
2026-05-11T12:10:51.742,58.38
2026-05-11T12:10:51.842,60.78
2026-05-11T12:10:51.942,60.17
2026-05-11T12:10:52.042,60.21
2026-05-11T12:10:52.142,60.56
2026-05-11T12:10:52.242,60.68
2026-05-11T12:10:52.342,61.13
