timestamp,mems_dba
2026-05-11T12:05:17.027,69.9
2026-05-11T12:05:17.127,69.88
2026-05-11T12:05:17.227,69.93
2026-05-11T12:05:17.327,69.86
2026-05-11T12:05:17.427,69.94
2026-05-11T12:05:17.527,69.94
2026-05-11T12:05:17.627,69.93
2026-05-11T12:05:17.727,69.98
2026-05-11T12:05:17.827,69.95
2026-05-11T12:05:17.927,69.92
2026-05-11T12:05:18.027,69.99
2026-05-11T12:05:18.127,69.95
2026-05-11T12:05:18.227,69.98
2026-05-11T12:05:18.327,69.98
2026-05-11T12:05:18.427,69.94
2026-05-11T12:05:18.527,69.98
2026-05-11T12:05:18.627,69.97
2026-05-11T12:05:18.727,69.92
2026-05-11T12:05:18.827,69.93
2026-05-11T12:05:18.927,69.88
2026-05-11T12:05:19.027,69.86
2026-05-11T12:05:19.127,69.83
2026-05-11T12:05:19.227,69.79
2026-05-11T12:05:19.327,69.78
2026-05-11T12:05:19.427,69.82
2026-05-11T12:05:19.527,69.8
2026-05-11T12:05:19.627,69.85
2026-05-11T12:05:19.727,69.85
2026-05-11T12:05:19.827,69.82
2026-05-11T12:05:19.927,69.88
2026-05-11T12:05:20.027,69.88
2026-05-11T12:05:20.127,69.8
2026-05-11T12:05:20.227,69.85
2026-05-11T12:05:20.327,69.85
2026-05-11T12:05:20.427,69.8
2026-05-11T12:05:20.527,69.9
2026-05-11T12:05:20.627,69.9
2026-05-11T12:05:20.727,69.86
2026-05-11T12:05:20.827,69.92
2026-05-11T12:05:20.927,69.9
2026-05-11T12:05:21.027,69.94
2026-05-11T12:05:21.127,69.94
2026-05-11T12:05:21.227,69.8
2026-05-11T12:05:21.327,69.97
2026-05-11T12:05:21.427,69.92
2026-05-11T12:05:21.527,69.96
2026-05-11T12:05:21.627,70.02
2026-05-11T12:05:21.727,69.99
2026-05-11T12:05:21.827,70.0
2026-05-11T12:05:21.927,70.02
2026-05-11T12:05:22.027,70.0
2026-05-11T12:05:22.127,70.01
2026-05-11T12:05:22.227,70.04
2026-05-11T12:05:22.327,70.04
2026-05-11T12:05:22.427,70.1
2026-05-11T12:05:22.527,70.08
2026-05-11T12:05:22.627,70.0
2026-05-11T12:05:22.727,70.12
2026-05-11T12:05:22.827,70.08
2026-05-11T12:05:22.927,70.06
2026-05-11T12:05:23.027,70.05
2026-05-11T12:05:23.127,69.96
2026-05-11T12:05:23.227,70.0
2026-05-11T12:05:23.327,70.06
2026-05-11T12:05:23.427,70.06
2026-05-11T12:05:23.527,70.06
2026-05-11T12:05:23.627,70.06
2026-05-11T12:05:23.727,70.05
2026-05-11T12:05:23.827,70.01
2026-05-11T12:05:23.927,69.97
2026-05-11T12:05:24.027,69.89
2026-05-11T12:05:24.127,69.92
2026-05-11T12:05:24.227,69.91
2026-05-11T12:05:24.327,69.95
2026-05-11T12:05:24.427,70.01
2026-05-11T12:05:24.527,69.94
2026-05-11T12:05:24.627,70.02
2026-05-11T12:05:24.727,70.03
2026-05-11T12:05:24.827,69.94
2026-05-11T12:05:24.927,70.03
2026-05-11T12:05:25.027,70.03
2026-05-11T12:05:25.127,69.98
2026-05-11T12:05:25.227,70.01
2026-05-11T12:05:25.327,70.01
2026-05-11T12:05:25.427,69.98
2026-05-11T12:05:25.527,70.06
2026-05-11T12:05:25.627,70.06
2026-05-11T12:05:25.727,70.07
2026-05-11T12:05:25.827,70.03
2026-05-11T12:05:25.927,69.94
2026-05-11T12:05:26.027,70.03
2026-05-11T12:05:26.127,70.03
2026-05-11T12:05:26.227,70.03
2026-05-11T12:05:26.327,70.07
2026-05-11T12:05:26.427,70.01
2026-05-11T12:05:26.527,70.04
2026-05-11T12:05:26.627,70.1
2026-05-11T12:05:26.727,70.05
2026-05-11T12:05:26.827,70.01
2026-05-11T12:05:26.927,70.05
2026-05-11T12:05:27.027,70.03
2026-05-11T12:05:27.127,70.03
2026-05-11T12:05:27.227,70.02
2026-05-11T12:05:27.327,69.98
2026-05-11T12:05:27.427,70.02
2026-05-11T12:05:27.527,70.05
2026-05-11T12:05:27.627,70.01
2026-05-11T12:05:27.727,70.05
2026-05-11T12:05:27.827,69.94
2026-05-11T12:05:27.927,69.96
2026-05-11T12:05:28.027,69.98
2026-05-11T12:05:28.127,69.9
2026-05-11T12:05:28.227,69.94
2026-05-11T12:05:28.327,69.97
2026-05-11T12:05:28.427,69.96
2026-05-11T12:05:28.527,70.03
2026-05-11T12:05:28.627,70.04
2026-05-11T12:05:28.727,69.95
2026-05-11T12:05:28.827,70.08
2026-05-11T12:05:28.927,70.11
2026-05-11T12:05:29.027,70.09
