sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:16:36.554142,34.5,,
2026-04-22T16:16:37.186104,32.0,,
2026-04-22T16:16:37.832673,32.0,,
2026-04-22T16:16:38.467504,31.9,2026-04-22T16:16:37.746,7.55
2026-04-22T16:16:39.111496,33.6,2026-04-22T16:16:38.746,7.75
2026-04-22T16:16:39.748682,31.5,2026-04-22T16:16:39.246,8.01
2026-04-22T16:16:40.382963,46.2,2026-04-22T16:16:40.246,8.64
2026-04-22T16:16:41.038734,49.8,2026-04-22T16:16:41.246,21.64
2026-04-22T16:16:41.667196,49.1,2026-04-22T16:16:41.746,23.97
2026-04-22T16:16:42.312664,49.0,2026-04-22T16:16:42.746,22.96
2026-04-22T16:16:42.952699,48.9,2026-04-22T16:16:43.246,23.09
2026-04-22T16:16:43.584694,43.4,2026-04-22T16:16:44.246,23.24
2026-04-22T16:16:44.230276,42.7,2026-04-22T16:16:44.746,24.21
2026-04-22T16:16:44.860072,42.7,2026-04-22T16:16:45.746,24.37
2026-04-22T16:16:45.506877,44.8,2026-04-22T16:16:46.246,24.18
2026-04-22T16:16:46.146922,45.3,2026-04-22T16:16:47.246,24.77
2026-04-22T16:16:46.785820,47.0,2026-04-22T16:16:48.246,25.67
2026-04-22T16:16:47.436632,46.7,2026-04-22T16:16:48.746,25.75
2026-04-22T16:16:48.079422,46.3,2026-04-22T16:16:49.246,25.68
2026-04-22T16:16:48.704126,46.0,2026-04-22T16:16:49.746,25.67
2026-04-22T16:16:49.344851,45.9,2026-04-22T16:16:50.746,25.59
2026-04-22T16:16:49.988243,45.8,2026-04-22T16:16:51.246,25.58
2026-04-22T16:16:50.625829,46.3,2026-04-22T16:16:51.746,25.66
