sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:19:45.998990,32.1,,
2026-04-22T16:19:46.633606,30.9,,
2026-04-22T16:19:47.281400,31.0,,
2026-04-22T16:19:47.928274,30.3,2026-04-22T16:19:47.163,7.52
2026-04-22T16:19:48.551396,30.5,2026-04-22T16:19:48.163,6.98
2026-04-22T16:19:49.201950,30.9,2026-04-22T16:19:48.663,7.3
2026-04-22T16:19:49.832047,32.1,2026-04-22T16:19:49.663,7.18
2026-04-22T16:19:50.482094,30.9,2026-04-22T16:19:50.163,7.38
2026-04-22T16:19:51.114890,39.2,2026-04-22T16:19:51.163,7.46
2026-04-22T16:19:51.763276,41.3,2026-04-22T16:19:51.663,7.49
2026-04-22T16:19:52.398716,40.9,2026-04-22T16:19:52.663,27.3
2026-04-22T16:19:53.046021,39.6,2026-04-22T16:19:53.163,27.46
2026-04-22T16:19:53.680119,39.4,2026-04-22T16:19:54.163,27.56
2026-04-22T16:19:54.319608,40.0,2026-04-22T16:19:54.663,27.58
2026-04-22T16:19:54.963533,39.7,2026-04-22T16:19:55.663,27.49
2026-04-22T16:19:55.597912,39.7,2026-04-22T16:19:56.163,27.5
2026-04-22T16:19:56.235878,38.8,2026-04-22T16:19:57.163,27.54
2026-04-22T16:19:56.878083,38.6,2026-04-22T16:19:58.163,27.58
2026-04-22T16:19:57.518029,39.5,2026-04-22T16:19:58.663,27.54
2026-04-22T16:19:58.163018,39.7,2026-04-22T16:19:59.163,27.5
2026-04-22T16:19:58.796818,39.9,2026-04-22T16:20:00.163,27.6
2026-04-22T16:19:59.456670,39.1,2026-04-22T16:20:00.663,27.64
2026-04-22T16:20:00.065055,39.2,2026-04-22T16:20:01.163,27.64
2026-04-22T16:20:00.714013,39.8,2026-04-22T16:20:02.163,27.58
2026-04-22T16:20:01.361843,40.5,2026-04-22T16:20:02.663,27.58
2026-04-22T16:20:01.997395,40.2,2026-04-22T16:20:03.163,27.56
2026-04-22T16:20:02.632199,39.8,2026-04-22T16:20:03.663,27.62
2026-04-22T16:20:03.284033,31.8,2026-04-22T16:20:04.663,8.14
