sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:27:38.322120,35.3,,
2026-04-22T16:27:38.973570,33.4,,
2026-04-22T16:27:39.608738,33.1,,
2026-04-22T16:27:40.243579,34.0,2026-04-22T16:27:39.482,8.27
2026-04-22T16:27:40.891792,34.5,2026-04-22T16:27:40.482,7.7
2026-04-22T16:27:41.539047,34.1,2026-04-22T16:27:40.982,7.31
2026-04-22T16:27:42.158695,37.1,2026-04-22T16:27:41.982,8.18
2026-04-22T16:27:42.805571,37.1,2026-04-22T16:27:42.482,8.59
2026-04-22T16:27:43.455981,38.6,2026-04-22T16:27:43.482,12.44
2026-04-22T16:27:44.091950,36.6,2026-04-22T16:27:44.482,14.77
2026-04-22T16:27:44.739491,34.9,2026-04-22T16:27:44.982,14.23
2026-04-22T16:27:45.372374,36.1,2026-04-22T16:27:45.982,15.88
2026-04-22T16:27:46.005068,35.7,2026-04-22T16:27:46.482,14.88
2026-04-22T16:27:46.659513,36.7,2026-04-22T16:27:47.482,12.72
2026-04-22T16:27:47.290680,36.5,2026-04-22T16:27:47.982,14.16
2026-04-22T16:27:47.922646,36.1,2026-04-22T16:27:48.982,15.73
2026-04-22T16:27:48.572169,37.1,2026-04-22T16:27:49.482,15.23
2026-04-22T16:27:49.202370,34.5,2026-04-22T16:27:50.482,16.42
2026-04-22T16:27:49.857987,34.7,2026-04-22T16:27:50.982,15.5
2026-04-22T16:27:50.489114,35.8,2026-04-22T16:27:51.482,15.04
2026-04-22T16:27:51.126914,35.6,2026-04-22T16:27:52.482,14.07
2026-04-22T16:27:51.774903,37.2,2026-04-22T16:27:52.982,15.07
2026-04-22T16:27:52.405893,36.4,2026-04-22T16:27:53.482,15.03
2026-04-22T16:27:53.055167,36.1,2026-04-22T16:27:54.482,15.39
2026-04-22T16:27:53.686188,36.2,2026-04-22T16:27:54.982,14.1
2026-04-22T16:27:54.331702,36.5,2026-04-22T16:27:55.482,14.27
