sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:24:59.611050,37.8,,
2026-04-22T16:25:00.242966,31.4,,
2026-04-22T16:25:00.881827,31.8,,
2026-04-22T16:25:01.525823,31.7,2026-04-22T16:25:00.970,7.24
2026-04-22T16:25:02.173184,33.2,2026-04-22T16:25:01.470,7.39
2026-04-22T16:25:02.806505,31.7,2026-04-22T16:25:02.470,6.95
2026-04-22T16:25:03.440542,39.3,2026-04-22T16:25:02.970,7.53
2026-04-22T16:25:04.090993,38.9,2026-04-22T16:25:03.970,8.27
2026-04-22T16:25:04.708463,39.1,2026-04-22T16:25:04.470,14.88
2026-04-22T16:25:05.356349,39.1,2026-04-22T16:25:05.470,16.69
2026-04-22T16:25:06.008559,37.9,2026-04-22T16:25:05.970,17.17
2026-04-22T16:25:06.641377,37.6,2026-04-22T16:25:06.970,16.94
2026-04-22T16:25:07.291608,37.9,2026-04-22T16:25:07.470,16.78
2026-04-22T16:25:07.925167,37.9,2026-04-22T16:25:08.470,17.06
2026-04-22T16:25:08.573202,43.2,2026-04-22T16:25:08.970,17.07
2026-04-22T16:25:09.206884,37.8,2026-04-22T16:25:09.970,17.06
2026-04-22T16:25:09.840493,38.0,2026-04-22T16:25:10.470,17.0
2026-04-22T16:25:10.491076,37.8,2026-04-22T16:25:11.470,16.77
2026-04-22T16:25:11.124328,37.7,2026-04-22T16:25:11.970,16.92
2026-04-22T16:25:11.773519,37.7,2026-04-22T16:25:12.970,17.11
2026-04-22T16:25:12.407400,37.5,2026-04-22T16:25:13.470,17.04
2026-04-22T16:25:13.045961,38.0,2026-04-22T16:25:14.470,16.71
2026-04-22T16:25:13.689525,38.5,2026-04-22T16:25:14.970,16.56
2026-04-22T16:25:14.310073,37.9,2026-04-22T16:25:15.470,16.91
2026-04-22T16:25:14.961238,38.4,2026-04-22T16:25:15.970,17.06
2026-04-22T16:25:15.609358,38.4,2026-04-22T16:25:16.970,16.8
2026-04-22T16:25:16.243206,37.9,2026-04-22T16:25:17.470,16.8
2026-04-22T16:25:16.893010,37.7,2026-04-22T16:25:17.970,16.46
2026-04-22T16:25:17.521796,37.9,2026-04-22T16:25:18.970,17.04
2026-04-22T16:25:18.173212,42.8,2026-04-22T16:25:19.470,18.47
2026-04-22T16:25:18.806658,36.4,2026-04-22T16:25:19.970,20.97
2026-04-22T16:25:19.456202,41.0,2026-04-22T16:25:20.470,21.6
2026-04-22T16:25:20.095395,35.0,2026-04-22T16:25:21.470,20.77
2026-04-22T16:25:20.729830,41.6,2026-04-22T16:25:21.970,21.46
