sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:18:15.121187,32.8,,
2026-04-22T16:18:15.750037,31.3,,
2026-04-22T16:18:16.384593,33.3,,
2026-04-22T16:18:17.032840,32.5,2026-04-22T16:18:16.552,7.3
2026-04-22T16:18:17.684767,31.0,2026-04-22T16:18:17.052,7.03
2026-04-22T16:18:18.316113,30.9,2026-04-22T16:18:18.052,6.83
2026-04-22T16:18:18.952468,31.4,2026-04-22T16:18:18.552,7.21
2026-04-22T16:18:19.585455,40.3,2026-04-22T16:18:19.552,7.58
2026-04-22T16:18:20.232722,44.2,2026-04-22T16:18:20.052,7.1
2026-04-22T16:18:20.883466,44.5,2026-04-22T16:18:21.052,24.25
2026-04-22T16:18:21.517052,44.2,2026-04-22T16:18:21.552,26.65
2026-04-22T16:18:22.162770,43.9,2026-04-22T16:18:22.552,26.63
2026-04-22T16:18:22.799345,42.8,2026-04-22T16:18:23.052,26.61
2026-04-22T16:18:23.432870,43.9,2026-04-22T16:18:24.052,26.11
2026-04-22T16:18:24.081813,43.5,2026-04-22T16:18:25.052,26.21
2026-04-22T16:18:24.715672,42.7,2026-04-22T16:18:25.552,26.05
2026-04-22T16:18:25.351570,42.4,2026-04-22T16:18:26.552,25.93
2026-04-22T16:18:25.998841,46.5,2026-04-22T16:18:27.052,25.9
2026-04-22T16:18:26.634233,48.7,2026-04-22T16:18:27.552,24.52
2026-04-22T16:18:27.282699,48.9,2026-04-22T16:18:28.552,24.41
2026-04-22T16:18:27.916225,48.6,2026-04-22T16:18:29.052,24.23
2026-04-22T16:18:28.550017,48.5,2026-04-22T16:18:29.552,24.13
2026-04-22T16:18:29.199895,48.7,2026-04-22T16:18:30.552,24.26
2026-04-22T16:18:29.817013,49.4,2026-04-22T16:18:31.052,23.98
2026-04-22T16:18:30.469036,50.0,2026-04-22T16:18:31.552,23.82
2026-04-22T16:18:31.119791,50.1,2026-04-22T16:18:32.552,26.08
2026-04-22T16:18:31.751734,49.3,2026-04-22T16:18:33.052,26.12
2026-04-22T16:18:32.387189,42.6,2026-04-22T16:18:33.552,24.81
