sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:15:28.072189,31.2,,
2026-04-22T16:15:28.701678,31.7,,
2026-04-22T16:15:29.356204,30.8,,
2026-04-22T16:15:29.988816,30.5,,
2026-04-22T16:15:30.625419,30.9,2026-04-22T16:15:30.219,7.46
2026-04-22T16:15:31.269456,32.4,2026-04-22T16:15:30.719,7.72
2026-04-22T16:15:31.955321,64.0,2026-04-22T16:15:31.719,7.35
2026-04-22T16:15:32.552600,64.1,2026-04-22T16:15:32.219,7.64
2026-04-22T16:15:33.187850,64.0,2026-04-22T16:15:33.219,26.73
2026-04-22T16:15:33.836430,64.0,2026-04-22T16:15:33.719,26.65
2026-04-22T16:15:34.473652,64.1,2026-04-22T16:15:34.719,26.49
2026-04-22T16:15:35.106897,64.1,2026-04-22T16:15:35.219,26.55
2026-04-22T16:15:35.752085,64.1,2026-04-22T16:15:35.719,26.6
2026-04-22T16:15:36.383908,64.1,2026-04-22T16:15:36.719,26.64
2026-04-22T16:15:37.018402,64.1,2026-04-22T16:15:37.219,26.64
2026-04-22T16:15:37.670485,64.1,2026-04-22T16:15:37.719,26.65
2026-04-22T16:15:38.318936,64.2,2026-04-22T16:15:38.719,26.64
2026-04-22T16:15:38.955910,64.1,2026-04-22T16:15:39.219,26.65
2026-04-22T16:15:39.606218,64.2,2026-04-22T16:15:40.219,26.66
2026-04-22T16:15:40.224463,64.2,2026-04-22T16:15:40.719,26.65
2026-04-22T16:15:40.874325,64.2,2026-04-22T16:15:41.719,26.64
2026-04-22T16:15:41.520121,64.2,2026-04-22T16:15:42.219,26.62
2026-04-22T16:15:42.154654,64.1,2026-04-22T16:15:43.219,26.66
2026-04-22T16:15:42.786496,64.2,2026-04-22T16:15:43.719,26.67
2026-04-22T16:15:43.420111,64.1,2026-04-22T16:15:44.719,26.68
2026-04-22T16:15:44.067708,64.1,2026-04-22T16:15:45.219,26.63
2026-04-22T16:15:44.703335,64.1,2026-04-22T16:15:45.719,26.63
2026-04-22T16:15:45.354073,64.1,2026-04-22T16:15:46.719,26.51
2026-04-22T16:15:46.002523,64.0,2026-04-22T16:15:47.219,26.56
2026-04-22T16:15:46.623724,64.1,2026-04-22T16:15:47.719,26.69
2026-04-22T16:15:47.265567,64.1,2026-04-22T16:15:48.719,26.66
2026-04-22T16:15:47.913708,64.2,2026-04-22T16:15:48.719,26.66
