sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:23:58.795916,31.0,,
2026-04-22T16:23:59.440744,30.5,,
2026-04-22T16:24:00.080377,31.4,,
2026-04-22T16:24:00.721707,32.2,,
2026-04-22T16:24:01.372218,32.4,2026-04-22T16:24:00.831,11.22
2026-04-22T16:24:02.003939,32.4,2026-04-22T16:24:01.831,7.31
2026-04-22T16:24:02.637541,32.5,2026-04-22T16:24:02.331,7.45
2026-04-22T16:24:03.275355,33.6,2026-04-22T16:24:03.331,15.05
2026-04-22T16:24:03.923067,33.6,2026-04-22T16:24:03.831,18.08
2026-04-22T16:24:04.557541,33.9,2026-04-22T16:24:04.831,18.03
2026-04-22T16:24:05.199736,34.3,2026-04-22T16:24:05.331,18.27
2026-04-22T16:24:05.846074,34.3,2026-04-22T16:24:06.331,18.49
2026-04-22T16:24:06.489883,34.5,2026-04-22T16:24:06.831,18.83
2026-04-22T16:24:07.129441,35.1,2026-04-22T16:24:07.831,19.28
2026-04-22T16:24:07.757111,35.9,2026-04-22T16:24:08.331,19.41
2026-04-22T16:24:08.399795,34.2,2026-04-22T16:24:09.331,19.71
2026-04-22T16:24:09.052764,33.8,2026-04-22T16:24:09.831,19.69
2026-04-22T16:24:09.680494,35.3,2026-04-22T16:24:10.831,19.84
2026-04-22T16:24:10.326908,35.8,2026-04-22T16:24:11.331,20.08
2026-04-22T16:24:10.956083,34.2,2026-04-22T16:24:12.331,20.15
2026-04-22T16:24:11.608207,36.5,2026-04-22T16:24:12.831,20.12
2026-04-22T16:24:12.248539,37.5,2026-04-22T16:24:13.331,20.37
2026-04-22T16:24:12.890339,37.8,2026-04-22T16:24:14.331,20.86
2026-04-22T16:24:13.512065,36.3,2026-04-22T16:24:14.831,19.89
2026-04-22T16:24:14.166566,40.1,2026-04-22T16:24:15.331,17.24
2026-04-22T16:24:14.800795,38.7,2026-04-22T16:24:15.831,19.68
2026-04-22T16:24:15.441926,36.8,2026-04-22T16:24:16.831,19.83
2026-04-22T16:24:16.086938,38.3,2026-04-22T16:24:17.331,17.59
2026-04-22T16:24:16.725342,35.0,2026-04-22T16:24:17.831,17.73
2026-04-22T16:24:17.364964,32.9,2026-04-22T16:24:18.831,7.65
2026-04-22T16:24:18.006796,32.6,2026-04-22T16:24:19.331,8.33
2026-04-22T16:24:18.644497,32.7,2026-04-22T16:24:19.831,8.09
2026-04-22T16:24:19.290460,32.4,2026-04-22T16:24:20.331,7.68
2026-04-22T16:24:19.920861,34.6,2026-04-22T16:24:21.331,16.82
2026-04-22T16:24:20.553936,36.1,2026-04-22T16:24:21.831,8.86
2026-04-22T16:24:21.197412,54.8,2026-04-22T16:24:22.331,10.52
2026-04-22T16:24:21.841666,32.2,2026-04-22T16:24:22.831,7.79
2026-04-22T16:24:22.481534,32.3,2026-04-22T16:24:23.831,7.8
2026-04-22T16:24:23.126717,34.4,2026-04-22T16:24:24.331,8.54
2026-04-22T16:24:23.760886,35.4,2026-04-22T16:24:24.831,8.3
2026-04-22T16:24:24.410916,33.6,2026-04-22T16:24:25.831,7.85
2026-04-22T16:24:25.046721,33.5,2026-04-22T16:24:26.331,7.73
2026-04-22T16:24:25.694119,36.2,2026-04-22T16:24:26.831,9.09
2026-04-22T16:24:26.325876,31.8,2026-04-22T16:24:27.331,7.79
2026-04-22T16:24:26.974880,32.1,2026-04-22T16:24:28.331,8.04
2026-04-22T16:24:27.608980,34.7,2026-04-22T16:24:28.831,8.35
2026-04-22T16:24:28.245392,31.7,2026-04-22T16:24:29.331,7.66
2026-04-22T16:24:28.879911,42.6,2026-04-22T16:24:29.831,8.05
