sauter_timestamp,sauter_dba,mems_timestamp,mems_dba
2026-04-22T16:21:36.075841,31.7,,
2026-04-22T16:21:36.713689,31.3,,
2026-04-22T16:21:37.363393,32.1,,
2026-04-22T16:21:37.997531,32.2,,
2026-04-22T16:21:38.631929,32.4,2026-04-22T16:21:38.140,7.87
2026-04-22T16:21:39.293935,33.0,2026-04-22T16:21:38.640,8.12
2026-04-22T16:21:39.927213,38.0,2026-04-22T16:21:39.640,7.72
2026-04-22T16:21:40.562511,39.6,2026-04-22T16:21:40.140,8.59
2026-04-22T16:21:41.195651,38.5,2026-04-22T16:21:41.140,27.13
2026-04-22T16:21:41.843448,39.2,2026-04-22T16:21:41.640,27.21
2026-04-22T16:21:42.479512,39.6,2026-04-22T16:21:42.640,28.01
2026-04-22T16:21:43.115915,37.7,2026-04-22T16:21:43.140,27.83
2026-04-22T16:21:43.777187,37.9,2026-04-22T16:21:44.140,27.85
2026-04-22T16:21:44.393543,41.2,2026-04-22T16:21:44.640,27.84
2026-04-22T16:21:45.043937,44.1,2026-04-22T16:21:45.640,28.07
2026-04-22T16:21:45.677384,45.4,2026-04-22T16:21:46.140,27.84
2026-04-22T16:21:46.314690,44.8,2026-04-22T16:21:47.140,28.46
2026-04-22T16:21:46.968347,41.9,2026-04-22T16:21:47.640,28.28
2026-04-22T16:21:47.594857,44.9,2026-04-22T16:21:48.640,27.49
2026-04-22T16:21:48.243213,45.1,2026-04-22T16:21:49.140,27.53
2026-04-22T16:21:48.878120,44.5,2026-04-22T16:21:50.140,27.52
2026-04-22T16:21:49.513903,44.3,2026-04-22T16:21:50.640,27.44
2026-04-22T16:21:50.161690,44.3,2026-04-22T16:21:51.640,27.4
2026-04-22T16:21:50.794801,44.4,2026-04-22T16:21:52.140,27.42
2026-04-22T16:21:51.441084,44.5,2026-04-22T16:21:52.640,27.39
2026-04-22T16:21:52.066109,44.0,2026-04-22T16:21:53.140,27.43
